		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS	d24_rate	d24_rate	d24_rate	d24_rate	d24_rate	d24_rate	d24_rate	d24_rate
									
TINumD1	inversion number using layers 1 and 2: times	0.0036**	0.0035**	0.0035**	0.0032**	0.0031**	0.0031*	0.0031*	0.0031*
		(0.0014)	(0.0015)	(0.0015)	(0.0015)	(0.0015)	(0.0016)	(0.0016)	(0.0017)
TINumD1_lag1	Inversions, lag 1	-0.0003	-0.0006	-0.0008	-0.0007	-0.0009	-0.0008	-0.0009	-0.0008
		(0.0014)	(0.0014)	(0.0015)	(0.0015)	(0.0015)	(0.0015)	(0.0016)	(0.0016)
TINumD1_lag2	Inversions, lag 2		0.0004	-0.0002	-0.0002	-0.0002	-0.0005	-0.0006	-0.0005
			(0.0014)	(0.0015)	(0.0016)	(0.0016)	(0.0016)	(0.0016)	(0.0017)
TINumD1_lag3	Inversions, lag 3			0.0010	0.0006	0.0003	0.0002	0.0000	0.0001
				(0.0015)	(0.0015)	(0.0015)	(0.0015)	(0.0016)	(0.0016)
TINumD1_lag4	Inversions, lag 4				0.0009	0.0008	0.0003	0.0001	0.0002
					(0.0015)	(0.0014)	(0.0015)	(0.0016)	(0.0016)
TINumD1_lag5	Inversions, lag 5					0.0006	0.0000	-0.0000	-0.0001
						(0.0014)	(0.0014)	(0.0014)	(0.0015)
TINumD1_lag6	Inversions, lag 6						0.0019	0.0015	0.0015
							(0.0015)	(0.0016)	(0.0016)
TINumD1_lag7	Inversions, lag 7							0.0013	0.0011
								(0.0014)	(0.0015)
TINumD1_lag8	Inversions, lag 8								-0.0000
									(0.0013)
									
Observations		147,438	146,730	146,042	145,368	144,699	144,042	143,388	142,733
Cum. effect		.0033	.0033	.0035	.0038	.0036	.0042	.0045	.0045
Cum. effect SE		.0015	.0017	.0018	.002	.0022	.0024	.0025	.0026
Cum. effect t-stat		2.1386	1.8962	1.9188	1.8994	1.6611	1.7668	1.7888	1.708
